x,y,z
-1.000246353149414062e+02,5.325281524658203125e+01,2.273027181625366211e+00
-9.331260681152343750e+01,6.020666503906250000e+01,6.789795160293579102e-01
-8.526542663574218750e+01,4.879383850097656250e+01,2.581291198730468750e-01
-8.446453094482421875e+01,5.449775695800781250e+01,-8.621255308389663696e-02
-8.585041809082031250e+01,4.912860870361328125e+01,-1.119220614433288574e+00
-8.586239624023437500e+01,4.913545989990234375e+01,-1.809095382690429688e+00
-8.504940032958984375e+01,5.487512588500976562e+01,-2.203846693038940430e+00
-7.178436279296875000e+01,4.631632614135742188e+01,-3.052309513092041016e+00
-1.579100418090820312e+01,9.518489837646484375e+00,-9.807370901107788086e-01
-1.471387100219726562e+01,7.833620548248291016e+00,-9.449290633201599121e-01
-1.261481761932373047e+01,7.603950023651123047e+00,-8.864927291870117188e-01
-1.161393737792968750e+01,6.183225154876708984e+00,-8.379131555557250977e-01
-1.052420425415039062e+01,6.343771934509277344e+00,-8.255792260169982910e-01
-9.914419174194335938e+00,5.278407096862792969e+00,-7.939428091049194336e-01
-8.800436019897460938e+00,4.685326099395751953e+00,-7.746266722679138184e-01
-6.350029945373535156e+00,3.827666282653808594e+00,-7.062569856643676758e-01
